wardCode,wardName,councilCode,councilName,countryName
,Billericay North,,Essex,England
,Bocking,,Essex,England
,Braintree Eastern,,Essex,England
,Braintree Town,,Essex,England
,Brentwood Hutton,,Essex,England
,Brentwood North,,Essex,England
,Brentwood Rural,,Essex,England
,Brentwood South,,Essex,England
,Brightlingsea,,Essex,England
,Broomfield and Writtle,,Essex,England
,Burnham and Southminster,,Essex,England
,Burstead,,Essex,England
,Canvey Island East,,Essex,England
,Canvey Island West,,Essex,England
,Castledon and Crouch,,Essex,England
,Chelmer,,Essex,England
,Chelmsford Central,,Essex,England
,Chelmsford North,,Essex,England
,Chelmsford Springfield,,Essex,England
,Chelmsford West,,Essex,England
,Chigwell and Buckhurst Hill East,,Essex,England
,Clacton North,,Essex,England
,Clacton South,,Essex,England
,Clacton West and St Osyth,,Essex,England
,Colchester Abbey,,Essex,England
,Colchester Lexden,,Essex,England
,Colchester Maypole,,Essex,England
,Colchester North,,Essex,England
,Colchester St Johns,,Essex,England
,Constable,,Essex,England
,Danbury and The Hanningfields,,Essex,England
,Dunmow,,Essex,England
,Epping and Theydon Bois,,Essex,England
,Frinton and Walton,,Essex,England
,Gloucester Park,,Essex,England
,Great Baddow and Galleywood,,Essex,England
,Hadleigh,,Essex,England
,Halstead,,Essex,England
,Harlow Common and Church Langley,,Essex,England
,Harlow Netteswell,,Essex,England
,Harlow Pardon and Toddbrook,,Essex,England
,Harlow South West,,Essex,England
,Harwich,,Essex,England
,Hedingham,,Essex,England
,Laindon Town,,Essex,England
,Loughton North,,Essex,England
,Loughton South and Buckhurst Hill West,,Essex,England
,Maldon Rural North,,Essex,England
,Maldon Rural South,,Essex,England
,Maldon Town and Heybridge,,Essex,England
,Mersea and Tiptree,,Essex,England
,North Weald and Nazeing,,Essex,England
,Old Harlow,,Essex,England
,Ongar and Rural,,Essex,England
,Pitsea,,Essex,England
,Rayleigh South,,Essex,England
,Rayleigh West,,Essex,England
,Rochford East,,Essex,England
,Rochford North,,Essex,England
,Rochford South,,Essex,England
,Saffron Walden,,Essex,England
,South Benfleet,,Essex,England
,Stansted,,Essex,England
,Stanway and Marks Tey,,Essex,England
,Takeley,,Essex,England
,Tendring Rural East,,Essex,England
,Tendring Rural West,,Essex,England
,Thaxted,,Essex,England
,Three Fields with Great Notley,,Essex,England
,Thundersley,,Essex,England
,Vange,,Essex,England
,Waltham Abbey,,Essex,England
,Westley Heights,,Essex,England
,Wickford East and Bowers Gifford,,Essex,England
,Witham Town,,Essex,England
,Witham West and Rural,,Essex,England
,Wivenhoe St Andrew,,Essex,England
,Woodham Ferrers,,Essex,England
